Exercise_ID,Name,Description,Sets,Order,Type,Image,WorkOut_ID,Second
,Flat Barbell Bench Press,"Tempo: 3-0-1-0

5 x 30, 12, 10, 8, 6 Reps

45 Seconds Rest

Barbell Bench Description",5,1,Weights,,1,37
,Barbell Incline Bench (30 degrees),"Tempo: 3-0-1-0

5 x 30, 12, 10, 8, 6 Reps

45 Seconds Rest

Incline Barbell Bench Description",5,2,Weights,,1,37
,Superset Dumbell Flyes with Dumbell Pull-Over,"Tempo 3-0-1-0

5 x 30, 12, 10, 8, 6

45 Seconds Rest

Fly Description

Dumbell Pull-Over Description",5,3,Weights,,1,37
,Wide grip Chin-Up,"Tempo 3-0-1-0

4 Sets to failure

45 Seconds Rest

Chin-up Description",4,4,Weights,,1,37
,Superset Bent-Over Barbell Row with Bent-Over Dumbell Row,"Tempo 3-0-1-0

5 x 30, 12, 10, 8, 6

45 Seconds Rest

Bent Over Barbell Description

Bent Over Dumbell Description",5,5,Weights,,1,37
,Hanging leg Raise,"Tempo 3-0-1-0

5 x 25

45 Seconds Rest",5,6,Weights,,1,37
,Clean and Press,"Tempo 3-0-1-0

5 x 5

45 Seconds Rest

Clean and Press Description",5,1,Weights,,2,38
,Superset Standing DB Press with Front Dumbell Raise,"Tempo 3-0-1-0

5 x 30, 12, 10, 8, 6

45 Seconds Rest

Standing DB Press Description

Front DB Raise Description",5,2,Weights,,2,38
,Superset Lateral Raise with Upright Row,"Tempo 3-0-1-0

5 x 30, 12, 10, 8, 6

45 Seconds Rest

Lat Raise Description

Upright Row Description",5,3,Weights,,2,38
,Barbell Curl,"Tempo 3-0-1-0

5 x 30, 12, 10, 8, 6

45 Seconds Rest

Barbell Curl Description",5,4,Weights,,2,38
,Superset Incline DB Curl with Concentration Curls,"Tempo 3-0-1-0

5 x 30, 12, 10, 8, 6

45 Seconds Rest

Incline DB Curl Description

Concentration Curl Description",5,5,Weights,,2,38
,Close Grip Barbell Bench Press,"Tempo 3-0-1-0

5 x 30, 12, 10, 8, 6

45 Seconds Rest

Barbell Bench Press Description",5,6,Weights,,2,38
,Superset Barbell Skullcrushers with DB Kickbacks,"Tempo 3-0-1-0

5 x 30, 12, 10, 8, 6

45 Seconds Rest

Barbell Skullcrushers Description

DB Kickbacks Description",5,7,Weights,,2,38
,Superset Wrist Curls with Reverse Wrist Curls,"Tempo 3-0-1-0

5 x 30, 12, 10, 8, 6

45 Seconds Rest

Wrist Curl Description

Reverse Wrist Curl Description",5,8,Weights,,2,38
,Decline Sit-Up,"Tempo 3-0-1-0

5 x 25

45 Seconds Rest

Decline Sit-Up Description",5,9,Weights,,2,38
,Barbell Squat,"Tempo 3-0-1-0

5 x 8-12 reps

45 Seconds Rest

Barbell Squat Description",5,1,Weights,,3,39
,Stiff-Legged Deadlift,"Tempo 3-0-1-0

5 x 8-12 reps

45 Seconds Rest

Stiff-Legged Deadlift Description",5,2,Weights,,3,39
,Good Morning,"Tempo 3-0-1-0 

5 x 8-12 Reps

45 Seconds Rest

Good Morning Description",5,3,Weights,,3,39
,Barbell Lunge,"Tempo 3-0-1-0

5 x 8-12


45 Seconds Rest

Barbell Lunge Description",5,4,Weights,,3,39
,Superset Leg Extension with Seated Leg Curl,"Tempo 3-0-1-0

5 x 8-12 Reps

45 Seconds Rest

Leg Extension Description

Seated Leg Curl Description",5,5,Weights,,3,39
,Superset Standing Calf Raises with Seated Calf Raises,"Tempo 3-0-1-0

5 x 8-12 Reps

45 Seconds Rest

Standing Calf Raise Description

Seated Calf Raise Description",5,6,Weights,,3,39
,Kneeling Cable Crunch,"Tempo 3-0-1-0

4 x 25 Reps

45 Seconds Rest

Kneeling Cable Crunch Description",4,7,Weights,,3,39
,Flat Barbell Bench Press,"Tempo: 3-0-1-0

5 x 30, 12, 10, 8, 6 Reps

45 Seconds Rest

Barbell Bench Description",5,1,Weights,,4,40
,Barbell Incline Bench (30 degrees),"Tempo: 3-0-1-0

5 x 30, 12, 10, 8, 6 Reps

45 Seconds Rest

Incline Barbell Bench Description",5,2,Weights,,4,40
,Superset Dumbell Flyes with Dumbell Pull-Over,"Tempo 3-0-1-0

5 x 30, 12, 10, 8, 6

45 Seconds Rest

Fly Description

Dumbell Pull-Over Description",5,3,Weights,,4,40
,Wide grip Chin-Up,"Tempo 3-0-1-0

4 Sets to failure

45 Seconds Rest

Chin-up Description",4,4,Weights,,4,40
,Superset Bent-Over Barbell Row with Bent-Over Dumbell Row,"Tempo 3-0-1-0

5 x 30, 12, 10, 8, 6

45 Seconds Rest

Bent Over Barbell Description

Bent Over Dumbell Description",5,5,Weights,,4,40
,Hanging leg Raise,"Tempo 3-0-1-0

5 x 25

45 Seconds Rest",5,6,Weights,,4,40
,Clean and Press,"Tempo 3-0-1-0

5 x 5

45 Seconds Rest

Clean and Press Description",5,1,Weights,,5,41
,Superset Standing DB Press with Front Dumbell Raise,"Tempo 3-0-1-0

5 x 30, 12, 10, 8, 6

45 Seconds Rest

Standing DB Press Description

Front DB Raise Description",5,2,Weights,,5,41
,Superset Lateral Raise with Upright Row,"Tempo 3-0-1-0

5 x 30, 12, 10, 8, 6

45 Seconds Rest

Lat Raise Description

Upright Row Description",5,3,Weights,,5,41
,Barbell Curl,"Tempo 3-0-1-0

5 x 30, 12, 10, 8, 6

45 Seconds Rest

Barbell Curl Description",5,4,Weights,,5,41
,Superset Incline DB Curl with Concentration Curls,"Tempo 3-0-1-0

5 x 30, 12, 10, 8, 6

45 Seconds Rest

Incline DB Curl Description

Concentration Curl Description",5,5,Weights,,5,41
,Close Grip Barbell Bench Press,"Tempo 3-0-1-0

5 x 30, 12, 10, 8, 6

45 Seconds Rest

Barbell Bench Press Description",5,6,Weights,,5,41
,Superset Barbell Skullcrushers with DB Kickbacks,"Tempo 3-0-1-0

5 x 30, 12, 10, 8, 6

45 Seconds Rest

Barbell Skullcrushers Description

DB Kickbacks Description",5,7,Weights,,5,41
,Superset Wrist Curls with Reverse Wrist Curls,"Tempo 3-0-1-0

5 x 30, 12, 10, 8, 6

45 Seconds Rest

Wrist Curl Description

Reverse Wrist Curl Description",5,8,Weights,,5,41
,Decline Sit-Up,"Tempo 3-0-1-0

5 x 25

45 Seconds Rest

Decline Sit-Up Description",5,9,Weights,,5,41
,Barbell Squat,"Tempo 3-0-1-0

5 x 8-12 reps

45 Seconds Rest

Barbell Squat Description",5,1,Weights,,6,42
,Stiff-Legged Deadlift,"Tempo 3-0-1-0

5 x 8-12 reps

45 Seconds Rest

Stiff-Legged Deadlift Description",5,2,Weights,,6,42
,Good Morning,"Tempo 3-0-1-0 

5 x 8-12 Reps

45 Seconds Rest

Good Morning Description",5,3,Weights,,6,42
,Barbell Lunge,"Tempo 3-0-1-0

5 x 8-12


45 Seconds Rest

Barbell Lunge Description",5,4,Weights,,6,42
,Superset Leg Extension with Seated Leg Curl,"Tempo 3-0-1-0

5 x 8-12 Reps

45 Seconds Rest

Leg Extension Description

Seated Leg Curl Description",5,5,Weights,,6,42
,Superset Standing Calf Raises with Seated Calf Raises,"Tempo 3-0-1-0

5 x 8-12 Reps

45 Seconds Rest

Standing Calf Raise Description

Seated Calf Raise Description",5,6,Weights,,6,42
,Kneeling Cable Crunch,"Tempo 3-0-1-0

4 x 25 Reps

45 Seconds Rest

Kneeling Cable Crunch Description",4,7,Weights,,6,42
,Flat Barbell Bench Press,"Tempo: 3-0-1-0

5 x 30, 12, 10, 8, 6 Reps

45 Seconds Rest

Barbell Bench Description",5,1,Weights,,7,43
,Barbell Incline Bench (30 degrees),"Tempo: 3-0-1-0

5 x 30, 12, 10, 8, 6 Reps

45 Seconds Rest

Incline Barbell Bench Description",5,2,Weights,,7,43
,Superset Dumbell Flyes with Dumbell Pull-Over,"Tempo 3-0-1-0

5 x 30, 12, 10, 8, 6

45 Seconds Rest

Fly Description

Dumbell Pull-Over Description",5,3,Weights,,7,43
,Wide grip Chin-Up,"Tempo 3-0-1-0

4 Sets to failure

45 Seconds Rest

Chin-up Description",4,4,Weights,,7,43
,Superset Bent-Over Barbell Row with Bent-Over Dumbell Row,"Tempo 3-0-1-0

5 x 30, 12, 10, 8, 6

45 Seconds Rest

Bent Over Barbell Description

Bent Over Dumbell Description",5,5,Weights,,7,43
,Hanging leg Raise,"Tempo 3-0-1-0

5 x 25

45 Seconds Rest",5,6,Weights,,7,43
,Clean and Press,"Tempo 3-0-1-0

5 x 5

45 Seconds Rest

Clean and Press Description",5,1,Weights,,8,44
,Superset Standing DB Press with Front Dumbell Raise,"Tempo 3-0-1-0

5 x 30, 12, 10, 8, 6

45 Seconds Rest

Standing DB Press Description

Front DB Raise Description",5,2,Weights,,8,44
,Superset Lateral Raise with Upright Row,"Tempo 3-0-1-0

5 x 30, 12, 10, 8, 6

45 Seconds Rest

Lat Raise Description

Upright Row Description",5,3,Weights,,8,44
,Barbell Curl,"Tempo 3-0-1-0

5 x 30, 12, 10, 8, 6

45 Seconds Rest

Barbell Curl Description",5,4,Weights,,8,44
,Superset Incline DB Curl with Concentration Curls,"Tempo 3-0-1-0

5 x 30, 12, 10, 8, 6

45 Seconds Rest

Incline DB Curl Description

Concentration Curl Description",5,5,Weights,,8,44
,Close Grip Barbell Bench Press,"Tempo 3-0-1-0

5 x 30, 12, 10, 8, 6

45 Seconds Rest

Barbell Bench Press Description",5,6,Weights,,8,44
,Superset Barbell Skullcrushers with DB Kickbacks,"Tempo 3-0-1-0

5 x 30, 12, 10, 8, 6

45 Seconds Rest

Barbell Skullcrushers Description

DB Kickbacks Description",5,7,Weights,,8,44
,Superset Wrist Curls with Reverse Wrist Curls,"Tempo 3-0-1-0

5 x 30, 12, 10, 8, 6

45 Seconds Rest

Wrist Curl Description

Reverse Wrist Curl Description",5,8,Weights,,8,44
,Decline Sit-Up,"Tempo 3-0-1-0

5 x 25

45 Seconds Rest

Decline Sit-Up Description",5,9,Weights,,8,44
,Barbell Squat,"Tempo 3-0-1-0

5 x 8-12 reps

45 Seconds Rest

Barbell Squat Description",5,1,Weights,,9,45
,Stiff-Legged Deadlift,"Tempo 3-0-1-0

5 x 8-12 reps

45 Seconds Rest

Stiff-Legged Deadlift Description",5,2,Weights,,9,45
,Good Morning,"Tempo 3-0-1-0 

5 x 8-12 Reps

45 Seconds Rest

Good Morning Description",5,3,Weights,,9,45
,Barbell Lunge,"Tempo 3-0-1-0

5 x 8-12


45 Seconds Rest

Barbell Lunge Description",5,4,Weights,,9,45
,Superset Leg Extension with Seated Leg Curl,"Tempo 3-0-1-0

5 x 8-12 Reps

45 Seconds Rest

Leg Extension Description

Seated Leg Curl Description",5,5,Weights,,9,45
,Superset Standing Calf Raises with Seated Calf Raises,"Tempo 3-0-1-0

5 x 8-12 Reps

45 Seconds Rest

Standing Calf Raise Description

Seated Calf Raise Description",5,6,Weights,,9,45
,Kneeling Cable Crunch,"Tempo 3-0-1-0

4 x 25 Reps

45 Seconds Rest

Kneeling Cable Crunch Description",4,7,Weights,,9,45
,Flat Barbell Bench Press,"Tempo: 3-0-1-0

5 x 30, 12, 10, 8, 6 Reps

45 Seconds Rest

Barbell Bench Description",5,1,Weights,,10,46
,Barbell Incline Bench (30 degrees),"Tempo: 3-0-1-0

5 x 30, 12, 10, 8, 6 Reps

45 Seconds Rest

Incline Barbell Bench Description",5,2,Weights,,10,46
,Superset Dumbell Flyes with Dumbell Pull-Over,"Tempo 3-0-1-0

5 x 30, 12, 10, 8, 6

45 Seconds Rest

Fly Description

Dumbell Pull-Over Description",5,3,Weights,,10,46
,Wide grip Chin-Up,"Tempo 3-0-1-0

4 Sets to failure

45 Seconds Rest

Chin-up Description",4,4,Weights,,10,46
,Superset Bent-Over Barbell Row with Bent-Over Dumbell Row,"Tempo 3-0-1-0

5 x 30, 12, 10, 8, 6

45 Seconds Rest

Bent Over Barbell Description

Bent Over Dumbell Description",5,5,Weights,,10,46
,Hanging leg Raise,"Tempo 3-0-1-0

5 x 25

45 Seconds Rest",5,6,Weights,,10,46
,Clean and Press,"Tempo 3-0-1-0

5 x 5

45 Seconds Rest

Clean and Press Description",5,1,Weights,,11,47
,Superset Standing DB Press with Front Dumbell Raise,"Tempo 3-0-1-0

5 x 30, 12, 10, 8, 6

45 Seconds Rest

Standing DB Press Description

Front DB Raise Description",5,2,Weights,,11,47
,Superset Lateral Raise with Upright Row,"Tempo 3-0-1-0

5 x 30, 12, 10, 8, 6

45 Seconds Rest

Lat Raise Description

Upright Row Description",5,3,Weights,,11,47
,Barbell Curl,"Tempo 3-0-1-0

5 x 30, 12, 10, 8, 6

45 Seconds Rest

Barbell Curl Description",5,4,Weights,,11,47
,Superset Incline DB Curl with Concentration Curls,"Tempo 3-0-1-0

5 x 30, 12, 10, 8, 6

45 Seconds Rest

Incline DB Curl Description

Concentration Curl Description",5,5,Weights,,11,47
