WorkOut_ID,Training_ID,Week,Name,Order
1,2,1,Chest & Back,1
2,2,1,"Shoulders, Arms & Abs",2
3,2,1,Legs,3
4,2,1,Chest & Back,4
5,2,1,"Shoulders, Arms & Abs",5
6,2,1,Legs,6
7,2,2,Chest & Back,1
8,2,2,"Shoulders, Arms & Abs",2
9,2,2,Legs,3
10,2,2,Chest & Back,4
11,2,2,"Shoulders, Arms & Abs",5
12,2,2,Legs,6
13,2,3,Chest & Back,1
14,2,3,"Shoulders, Arms & Abs",2
15,2,3,Legs,3
16,2,3,Chest & Back,4
17,2,3,"Shoulders, Arms & Abs",5
18,2,3,Legs,6
19,2,4,Chest & Back,1
20,2,4,"Shoulders, Arms & Abs",2
21,2,4,Legs,3
22,2,4,Chest & Back,4
23,2,4,"Shoulders, Arms & Abs",5
24,2,4,Legs,6
25,2,5,Chest & Back,1
26,2,5,"Shoulders, Arms & Abs",2
27,2,5,Legs,3
28,2,5,Chest & Back,4
29,2,5,"Shoulders, Arms & Abs",5
30,2,5,Legs,6
31,2,6,Chest & Back,1
32,2,6,"Shoulders, Arms & Abs",2
33,2,6,Legs,3
34,2,6,Chest & Back,4
35,2,6,"Shoulders, Arms & Abs",5
36,2,6,Legs,6
37,2,7,Chest & Back,1
38,2,7,Shoulders & Arms,2
39,2,7,Legs,3
40,2,7,Chest & Back,4
41,2,7,Shoulders & Arms,5
42,2,7,Legs,6
43,2,8,Chest & Back,1
44,2,8,Shoulders & Arms,2
45,2,8,Legs,3
46,2,8,Chest & Back,4
47,2,8,Shoulders & Arms,5
48,2,8,Legs,6
49,2,9,Chest & Back,1
50,2,9,Shoulders & Arms,2
51,2,9,Legs,3
52,2,9,Chest & Back,4
53,2,9,Shoulders & Arms,5
54,2,9,Legs,6
55,2,10,Chest & Back,1
56,2,10,Shoulders & Arms,2
57,2,10,Legs,3
58,2,10,Chest & Back,4
59,2,10,Shoulders & Arms,5
60,2,10,Legs,6
61,2,11,Chest & Back,1
62,2,11,Shoulders & Arms,2
63,2,11,Legs,3
64,2,11,Chest & Back,4
65,2,11,Shoulders & Arms,5
66,2,11,Legs,6
67,2,12,Chest & Back,1
68,2,12,Shoulders & Arms,2
69,2,12,Legs,3
70,2,12,Chest & Back,4
71,2,12,Shoulders & Arms,5
72,2,12,Legs,6
